"طابع زمني","Name of Researcher","Title of Research","DOI of the Research","Department Name","Date"
"2025/11/01 10:38:18 م غرينتش+2","Alharith A. A. Hassan","Quality by Design-Guided Systematic Development and Optimization of Mucoadhesive Buccal Films","https://doi.org/10.3390/pharmaceutics15102375","Pharmaceutics & Drug Delivery","2023"
"2025/11/01 10:39:35 م غرينتش+2","Alharith A. A. Hassan","Lipid-Polymer Hybrid Nanoparticles as a Smart Drug Delivery System for Peptide/Protein Delivery","https://doi.org/10.3390/pharmaceutics17060797","Pharmaceutics & Drug Delivery","2025"
"2025/11/01 10:40:38 م غرينتش+2","Alharith A. A. Hassan","QbD Approach-Based Preparation and Optimization of Hydrophobic Ion-Pairing Complex of Lysozyme with Sodium Dodecyl Sulphate to Enhance Stability in Lipid-Based Carriers","https://doi.org/10.3390/pharmaceutics16050589","Pharmaceutics & Drug Delivery","2024"
"2025/11/01 10:43:33 م غرينتش+2","Alharith A. A. Hassan","Stability of co-amoxiclav reconstituted injectable solution","https://www.semanticscholar.org/paper/Stability-Of-Co-Amoxiclav-Reconstituted-Injectable-Nur-Hassan/2ad514247162b91f0c1b4a94b1e4c143df9bd5db","Pharmaceutics & Drug Delivery","2015"
"2025/11/01 10:44:30 م غرينتش+2","Alharith A. A. Hassan","Study of the Effect of Temperature on the Production of Carrageenan-Based Buccal Films and Optimization of the Process Parameters","https://doi.org/10.3390/ph17121737","Pharmaceutics & Drug Delivery","2024"
"2025/11/01 10:45:32 م غرينتش+2","Alharith A. A. Hassan","Investigation of the electrokinetic potential of granules and optimization of the pelletization method using the quality by design approach","https://doi.org/10.3390/pharmaceutics16070848","Pharmaceutics & Drug Delivery","2024"
"2025/11/01 10:46:56 م غرينتش+2","Alharith A. A. Hassan","Development and Optimization of Chitosan-Ascorbate-Based Mucoadhesive Films for Buccal Delivery of Captopril","https://doi.org/10.3390/pharmaceutics17040401","Pharmaceutics & Drug Delivery","2025"
"2025/11/01 10:48:48 م غرينتش+2","Alharith A. A. Hassan","Step by Step Preparation and Optimization of Lysozyme Hydrophobic Ion Pairing Complex","https://doi.org/10.33320/maced.pharm.bull.2023.69.03.139","Pharmaceutics & Drug Delivery","2023"
"2025/11/01 10:54:12 م غرينتش+2","Sami Hamdoun","Identification of natural compounds as SARS-CoV-2 entry inhibitors by molecular docking-based virtual screening with bio-layer interferometry","https://doi.org/10.1016/j.phrs.2021.105820","Pharmaceutical Chemistry","2021"
"2025/11/01 10:55:21 م غرينتش+2","Sami Hamdoun","Biopiracy of natural products and good bioprospecting practice","https://doi.org/10.1016/j.phymed.2015.12.006","Pharmaceutical Chemistry","2016"
"2025/11/01 10:56:33 م غرينتش+2","Sami Hamdoun","Ca2+ signalling plays a role in celastrol‐mediated suppression of synovial fibroblasts of rheumatoid arthritis patients and experimental arthritis in rats","https://doi.org/10.1111/bph.14718","Pharmacology & Toxicology","2019"
"2025/11/01 10:57:47 م غرينتش+2","Sami Hamdoun","Ginkgolic acids inhibit migration in breast cancer cells by inhibition of NEMO sumoylation and NF-κB activity","https://doi.org/10.18632/oncotarget.16626","Pharmacology & Toxicology","2017"
"2025/11/01 10:59:04 م غرينتش+2","Sami Hamdoun","Corilagin prevents SARS-CoV-2 infection by targeting RBD-ACE2 binding","https://doi.org/10.1016/j.phymed.2021.153591","Pharmacology & Toxicology","2021"
"2025/11/01 11:00:23 م غرينتش+2","Sami Hamdoun","Cytotoxicity of 91 Kenyan indigenous medicinal plants towards human CCRF-CEM leukemia cells","https://doi.org/10.1016/j.jep.2015.12.028","Pharmacology & Toxicology","2016"
"2025/11/01 11:03:02 م غرينتش+2","Sami Hamdoun","1, 2, 3, 4, 6-Pentagalloyl glucose, a RBD-ACE2 binding inhibitor to prevent SARS-CoV-2 infection","https://doi.org/10.3389/fphar.2021.634176","Pharmacology & Toxicology","2021"
"2025/11/01 11:04:29 م غرينتش+2","Sami Hamdoun","SERCA and P-glycoprotein inhibition and ATP depletion are necessary for celastrol-induced autophagic cell death and collateral sensitivity in multidrug-resistant tumor cells","https://doi.org/10.1016/j.phrs.2020.104660","Pharmacology & Toxicology","2020"
"2025/11/01 11:05:40 م غرينتش+2","Sami Hamdoun","Drug repurposing of the anthelmintic niclosamide to treat multidrug-resistant leukemia","https://doi.org/10.3389/fphar.2017.00110","Pharmacology & Toxicology","2017"
"2025/11/01 11:07:32 م غرينتش+2","Sami Hamdoun","MCC1019, a selective inhibitor of the Polo-box domain of Polo-like kinase 1 as novel, potent anticancer candidate","https://doi.org/10.1016/j.apsb.2019.02.001","Pharmacology & Toxicology","2019"
"2025/11/01 11:08:35 م غرينتش+2","Sami Hamdoun","Lawsone derivatives target the Wnt/β-catenin signaling pathway in multidrug-resistant acute lymphoblastic leukemia cells","https://doi.org/10.1016/j.bcp.2017.10.008","Pharmacology & Toxicology","2017"
"2025/11/01 11:10:26 م غرينتش+2","Sami Hamdoun","Biopiracy versus One-World Medicine–From colonial relicts to global collaborative concepts","https://doi.org/10.1016/j.phymed.2018.06.007","Pharmaceutical Chemistry","2019"
"2025/11/01 11:11:42 م غرينتش+2","Sami Hamdoun","Multifactorial modes of action of arsenic trioxide in cancer cells as analyzed by classical and network pharmacology","https://doi.org/10.3389/fphar.2018.00143","Pharmacology & Toxicology","2018"
"2025/11/01 11:13:53 م غرينتش+2","Sami Hamdoun","In silico pharmacokinetics and molecular docking of three leads isolated from Tarconanthus camphoratus L","https://www.researchgate.net/publication/297113024_In_silico_pharmacokinetics_and_molecular_docking_of_three_leads_isolated_from_Tarconanthus_camphoratus_L","Pharmaceutical Chemistry","2016"
"2025/11/01 11:15:39 م غرينتش+2","Sami Hamdoun","Discovery of two diacetylene glycosides as human uridine-cytidine kinase 2 inhibitors: an in silico approach","https://dx.doi.org/10.7324/JAPS.2016.601106","Pharmaceutical Chemistry","2016"
"2025/11/01 11:18:08 م غرينتش+2","Sami Hamdoun","Substituted steroidal compounds containing amino and amido groups reverse multidrug resistance of mouse T-lymphoma and two human prostate cancer cell lines in vitro","https://www.researchgate.net/publication/274781444_Substituted_Steroidal_Compounds_Containing_Amino_and_Amido_Groups_Reverse_Multidrug_Resistance_of_Mouse_T-Lymphoma_and_Two_Human_Prostate_Cancer_Cell_Lines_In_Vitro","Pharmacology & Toxicology","2015"
"2025/11/01 11:19:25 م غرينتش+2","Sami Hamdoun","Synthesis of novel xanthone and acridone carboxamides with potent antiproliferative activities","https://doi.org/10.1016/j.arabjc.2020.09.025","Pharmaceutical Chemistry","2020"
"2025/11/01 11:20:44 م غرينتش+2","Sami Hamdoun","In silico assessment of the druggability of two novel germacranolides isolated from Capparis decidua (Forsk.) as carbonic anhydrase II inhibitors","https://dx.doi.org/10.7324/JAPS.2017.70112","Pharmaceutical Chemistry","2017"
"2025/11/01 11:23:00 م غرينتش+2","Sami Hamdoun","Treatment of subjects with multidrug-resistant cancer","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=a_qc-vgAAAAJ&citation_for_view=a_qc-vgAAAAJ:Tyk-4Ss8FVUC","Pharmacology & Toxicology","2019"
"2025/11/01 11:26:17 م غرينتش+2","Sami Hamdoun","Biopiracy of natural products and good bioprospecting practice.","10.1016/j.phymed.2015.12.006","Pharmaceutical Chemistry","2016"
"2025/11/01 11:27:53 م غرينتش+2","Sami Hamdoun","Dual targeting of Phosphoinositide 3-Kinase (PI3K) and histone deacetylase 6 (HDAC6) in cancer","https://doi.org/10.1016/j.bcp.2025.117361","Pharmacology & Toxicology","2025"
"2025/11/01 11:29:18 م غرينتش+2","Sami Hamdoun","Allomaltol derivatives as Antimycobacterial agents: In vitro and in silico evaluations with potential protein targets","https://doi.org/10.26650/IstanbulJPharm.2024.1488237","Pharmaceutical Chemistry","2024"
"2025/11/01 11:30:27 م غرينتش+2","Sami Hamdoun","The investigation of drug repurposing for HDAC1 inhibitory effects by in silico and in vitro methods","https://doi.org/10.26650/IstanbulJPharm.2023.1269175","Pharmaceutical Chemistry","2023"
"2025/11/01 11:31:44 م غرينتش+2","Sami Hamdoun","Biopiracy Versus One-world Medicine–from Colonial Relicts to Global Collaborative Concepts","https://doi.org/10.1016/j.phymed.2018.06.007","Pharmaceutical Chemistry","2019"
"2025/11/01 11:35:49 م غرينتش+2","Sami Hamdoun","In silico Pharmacokinetic and Molecular Docking of Three Leads Isolated from Tarconanthus","https://www.researchgate.net/publication/297113024_In_silico_pharmacokinetics_and_molecular_docking_of_three_leads_isolated_from_Tarconanthus_camphoratus_L","Pharmaceutical Chemistry","2016"
"2025/11/01 11:40:04 م غرينتش+2","Sami Hamdoun","Molecular Targeting of Metastatic and Multidrug Resistant Cancers","https://scholar.google.com/scholar?cluster=11911676615994407367&hl=en&oi=scholarr#d=gs_qabs&t=1762033154709&u=%23p%3Dx3msf8XGTqUJ","Pharmacology & Toxicology","2017"
"2025/11/05 8:32:28 ص غرينتش+2","Bashir Alsiddig Yousef","Hepatotoxicity mechanisms of isoniazid: A mini‐review","https://doi.org/10.1002/jat.3175","Pharmacology & Toxicology","2015"
"2025/11/05 8:35:08 ص غرينتش+2","Bashir Alsiddig Yousef","Perceived academic stress, causes, and coping strategies among undergraduate pharmacy students during the COVID-19 pandemic","https://doi.org/10.2147/AMEP.S350562","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/05 8:36:21 ص غرينتش+2","Bashir Alsiddig Yousef","Role of inflammatory and oxidative stress, cytochrome P450 2E1, and bile acid disturbance in rat liver injury induced by isoniazid and lipopolysaccharide cotreatment","https://doi.org/10.1128/aac.00854-16","Pharmacology & Toxicology","2016"
"2025/11/05 8:37:43 ص غرينتش+2","Bashir Alsiddig Yousef","TGF-β1 causes EMT by regulating N-Acetyl glucosaminyl transferases via downregulation of non muscle myosin II-A through JNK/P38/PI3K pathway in lung cancer","https://doi.org/10.2174/1568009617666170807120304","Pharmacology & Toxicology","2018"
"2025/11/05 8:42:42 ص غرينتش+2","Bashir Alsiddig Yousef","Anticancer Potential and Molecular Targets of Pristimerin: A Mini-Review","https://www.ingentaconnect.com/content/ben/ccdt/2017/00000017/00000002/art00003","Pharmacology & Toxicology","2017"
"2025/11/05 8:43:56 ص غرينتش+2","Bashir Alsiddig Yousef","Pristimerin inhibits proliferation, migration and invasion, and induces apoptosis in HCT-116 colorectal cancer cells","https://doi.org/10.1016/j.biopha.2016.02.003","Pharmacology & Toxicology","2016"
"2025/11/05 8:53:36 ص غرينتش+2","Bashir Alsiddig Yousef","Pristimerin exhibits in vitro and in vivo anticancer activities through inhibition of nuclear factor-кB signaling pathway in colorectal cancer cells","https://doi.org/10.1016/j.phymed.2018.01.008","Pharmacology & Toxicology","2018"
"2025/11/05 9:03:21 ص غرينتش+2","Bashir Alsiddig Yousef","Pristimerin demonstrates anticancer potential in colorectal cancer cells by inducing G1 phase arrest and apoptosis and suppressing various pro-survival signaling proteins","https://doi.org/10.3892/or.2015.4457","Pharmacology & Toxicology","2016"
"2025/11/05 9:04:33 ص غرينتش+2","Bashir Alsiddig Yousef","Career preference and factors influencing career choice among undergraduate pharmacy students at University of Khartoum, Sudan","https://doi.org/10.3390/pharmacy10010026","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/05 9:06:01 ص غرينتش+2","Bashir Alsiddig Yousef","The potential utility of acetyltanshinone IIA in the treatment of HER2-overexpressed breast cancer: Induction of cancer cell death by targeting apoptotic and metabolic signaling pathways","https://doi.org/10.18632/oncotarget.4156","Pharmacology & Toxicology","2015"
"2025/11/05 9:07:50 ص غرينتش+2","Bashir Alsiddig Yousef","Molecular docking as a potential approach in repurposing drugs against COVID-19: a systematic review and novel pharmacophore models","https://doi.org/10.1007/s40495-022-00285-w","Pharmaceutical Chemistry","2022"
"2025/11/05 9:09:42 ص غرينتش+2","Bashir Alsiddig Yousef","Bacteriological profile and antibiotic susceptibility of diabetic Foot infections at Ribat University hospital; a retrospective study from Sudan","https://doi.org/10.1007/s40200-020-00660-8","Microbiology & Immunology","2020"
"2025/11/05 9:11:01 ص غرينتش+2","Bashir Alsiddig Yousef","Rhein triggers apoptosis via induction of endoplasmic reticulum stress, caspase-4 and intracellular calcium in primary human hepatic HL-7702 cells","https://doi.org/10.1016/j.bbrc.2016.03.084","Pharmacology & Toxicology","2016"
"2025/11/05 9:12:29 ص غرينتش+2","Bashir Alsiddig Yousef","Biochemical and computational evaluation of Triptolide-induced cytotoxicity against NSCLC","https://doi.org/10.1016/j.biopha.2018.04.198","Pharmacology & Toxicology","2018"
"2025/11/05 9:13:54 ص غرينتش+2","Bashir Alsiddig Yousef","Schiff Bases of Isatin and Adamantane‐1‐Carbohydrazide: Synthesis, Characterization and Anticonvulsant Activity","https://doi.org/10.1155/2021/6659156","Pharmaceutical Chemistry","2021"
"2025/11/05 9:16:10 ص غرينتش+2","Bashir Alsiddig Yousef","Dexamethasone pretreatment alleviates isoniazid/lipopolysaccharide hepatotoxicity: inhibition of inflammatory and oxidative stress","https://doi.org/10.3389/fphar.2017.00133","Pharmacology & Toxicology","2017"
"2025/11/05 9:19:57 ص غرينتش+2","Bashir Alsiddig Yousef","Assessment of community pharmacist’s practice and patient counselling toward acute diarrhea treatment in Khartoum locality: a simulated patient study","https://doi.org/10.2147/IPRP.S340528","Clinical Pharmacy & Pharmacy Practice","2021"
"2025/11/05 9:22:26 ص غرينتش+2","Bashir Alsiddig Yousef","Investigating the CYP2E1 potential role in the mechanisms behind INH/LPS-induced hepatotoxicity","https://doi.org/10.3389/fphar.2018.00198","Pharmacology & Toxicology","2018"
"2025/11/05 9:24:10 ص غرينتش+2","Bashir Alsiddig Yousef","The practice of the community pharmacists in managing potential drug-drug interactions: a simulated patient visits","https://doi.org/10.2147/IPRP.S355675","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/05 9:25:56 ص غرينتش+2","Bashir Alsiddig Yousef","The prevalence and severity of potential Drug–Drug interactions in internal medicine ward at Soba teaching hospital","https://doi.org/10.2147/DHPS.S436458","Clinical Pharmacy & Pharmacy Practice","2023"
"2025/11/05 10:09:31 ص غرينتش+2","Bashir Alsiddig Yousef","Prevalence and predictors of antibiotic self-medication in Sudan: a descriptive cross-sectional study","https://doi.org/10.3390/antibiotics12030612","Clinical Pharmacy & Pharmacy Practice","2023"
"2025/11/05 10:14:17 ص غرينتش+2","Bashir Alsiddig Yousef","Impact of guidelines implementation for the rational use of prophylactic antibiotics in elective cesarean sections at Elqutainah Teaching Hospital","10.4103/jfmpc.jfmpc_903_19","Clinical Pharmacy & Pharmacy Practice","2020"
"2025/11/05 10:16:59 ص غرينتش+2","Bashir Alsiddig Yousef","Prescribing patterns of antimicrobials in the internal medicine department of Ibrahim Malik teaching hospital in Khartoum, 2016","https://www.ajol.info/index.php/pamj/article/view/210074","Clinical Pharmacy & Pharmacy Practice","2019"
"2025/11/05 10:19:50 ص غرينتش+2","Bashir Alsiddig Yousef","Antiviral activity of approved antibacterial, antifungal, antiprotozoal and anthelmintic drugs: Chances for drug repurposing for antiviral drug discovery","https://doi.org/10.2147/JEP.S346006","Pharmaceutical Chemistry","2022"
"2025/11/05 10:21:30 ص غرينتش+2","Bashir Alsiddig Yousef","Incidence and risk factors of contrast-induced acute kidney injury in Sudanese patients undergoing coronary angiography: a descriptive prospective study","https://doi.org/10.7759/cureus.21876","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/05 10:23:17 ص غرينتش+2","Bashir Alsiddig Yousef","Imbalanced insulin substrate-1 and insulin substrate-2 signaling trigger hepatic steatosis in vitamin D deficient rats: 8-methoxypsoralen, a vitamin D receptor ligand with a promising anti-steatotic action","https://doi.org/10.1016/j.bbalip.2020.158657","Pharmacology & Toxicology","2020"
"2025/11/05 10:24:21 ص غرينتش+2","Bashir Alsiddig Yousef","Perceptions of community pharmacists towards patient counseling and continuing pharmacy education programs in Sudan","https://doi.org/10.2147/IPRP.S406219","Clinical Pharmacy & Pharmacy Practice","2023"
"2025/11/05 10:26:26 ص غرينتش+2","Bashir Alsiddig Yousef","Dynamic role of exosomal long non-coding RNA in liver diseases: pathogenesis and diagnostic aspects","https://doi.org/10.1007/s12072-024-10722-1","Microbiology & Immunology","2024"
"2025/11/05 10:28:09 ص غرينتش+2","Bashir Alsiddig Yousef","Pharmaceutical Care Network Europe (PCNE) drug-related problems classification version 9.1: first implementation in Sudan","https://doi.org/10.9734/jpri/2021/v33i59A34321","Clinical Pharmacy & Pharmacy Practice","2021"
"2025/11/05 10:35:19 ص غرينتش+2","Bashir Alsiddig Yousef","Knowledge, attitude, and practice of university students toward COVID-19 in Sudan: an online-based cross-sectional study","10.4103/cmi.cmi_155_20","Clinical Pharmacy & Pharmacy Practice","2021"
"2025/11/05 3:16:09 م غرينتش+2","Bashir Alsiddig Yousef","Physicians’ knowledge and practice with regard to acute kidney injury at Omdurman Military Hospital: A cross-sectional survey","https://doi.org/10.4103/ijhas.IJHAS_97_19","Clinical Pharmacy & Pharmacy Practice","2020"
"2025/11/05 3:17:59 م غرينتش+2","Bashir Alsiddig Yousef","Assessment of Anticonvulsant activities of Petroleum Ether Extract of Anacyclus pyrethrum roots on experimental rats","https://pbr.mazums.ac.ir/browse.php?a_code=A-10-863-1&slc_lang=en&sid=1","Pharmacology & Toxicology","2021"
"2025/11/05 3:20:41 م غرينتش+2","Bashir Alsiddig Yousef","Perceived Academic Stress, Causes, and Coping Strategies Among Undergraduate Pharmacy Students During the COVID-19 Pandemic","https://doi.org/10.2147/AMEP.S350562","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/05 3:23:11 م غرينتش+2","Bashir Alsiddig Yousef","Clinical pharmacist’s intervention to improve medication titration for heart failure: first experience from Sudan","https://doi.org/10.2147/IPRP.S341621","Clinical Pharmacy & Pharmacy Practice","2021"
"2025/11/05 3:24:29 م غرينتش+2","Bashir Alsiddig Yousef","Evaluation of counseling services provided by community pharmacists and patients' satisfaction toward their services: A cross-sectional survey from Sudan","10.4103/cmi.cmi_138_20","Clinical Pharmacy & Pharmacy Practice","2021"
"2025/11/05 3:25:59 م غرينتش+2","Bashir Alsiddig Yousef","Anti-malarial drugs as potential inhibitors of leishmania glycolytic enzymes: Development of new anti-leishmanial agents","https://doi.org/10.15416/pcpr.v4i3.29380","Pharmacology & Toxicology","2020"
"2025/11/05 3:27:18 م غرينتش+2","Bashir Alsiddig Yousef","The incidence of oxaliplatin-induced peripheral neurotoxicity at Khartoum oncology hospital: a cross-sectional survey","https://doi.org/10.4103/apjon.apjon_12_20","Clinical Pharmacy & Pharmacy Practice","2020"
"2025/11/05 3:28:39 م غرينتش+2","Bashir Alsiddig Yousef","Knowledge and practice of community pharmacists toward dispensing of cough medications for children Khartoum State: A cross-sectional study","https://doi.org/10.4103/ijhas.IJHAS_120_19","Clinical Pharmacy & Pharmacy Practice","2020"
"2025/11/05 3:30:14 م غرينتش+2","Bashir Alsiddig Yousef","Optimal medical therapy for secondary prevention of acute coronary syndrome: a retrospective study from a tertiary hospital in Sudan","https://doi.org/10.2147/TCRM.S361129","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/05 3:34:50 م غرينتش+2","Bashir Alsiddig Yousef","The Antibiotic Resistance and Multidrug Resistance Pattern of Uropathogenic Escherichia coli at Soba University Hospital: A Descriptive Retrospective Survey","https://www.ajol.info/index.php/sjms/about","Microbiology & Immunology","2022"
"2025/11/05 3:36:45 م غرينتش+2","Bashir Alsiddig Yousef","Potential Deoxycytidine Kinase Inhibitory Activity of Amaryllidaceae Alkaloids: An: In Silico: Approach","10.4103/jpbs.JPBS_44_18","Pharmacology & Toxicology","2018"
"2025/11/05 3:38:55 م غرينتش+2","Bashir Alsiddig Yousef","Biological activity and characterization of leaf and seed lectins from Terminalia brownii: Insights into their analgesic and antiulcer properties","https://doi.org/10.1016/j.heliyon.2024.e39351","Pharmacology & Toxicology","2024"
"2025/11/05 3:40:15 م غرينتش+2","Bashir Alsiddig Yousef","Knowledge and practice about mycetoma infection among community pharmacists in Khartoum State: A descriptive cross-sectional study","https://doi.org/10.1016/j.imu.2023.101175","Clinical Pharmacy & Pharmacy Practice","2023"
"2025/11/05 3:41:49 م غرينتش+2","Bashir Alsiddig Yousef","Knowledge, attitude, and practice of sudanese pharmacists toward COVID-19 in Khartoum State, Sudan: An online-based cross-sectional study","10.4103/LIUJ.LIUJ_42_20","Clinical Pharmacy & Pharmacy Practice","2021"
"2025/11/05 3:43:42 م غرينتش+2","Bashir Alsiddig Yousef","Clinical pharmacist led-educational intervention to promote medications’ adherence for Sudanese patients with heart failure: A prospective study","https://doi.org/10.13189/app.2022.100401","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/05 3:45:00 م غرينتش+2","Bashir Alsiddig Yousef","Adherence to stress ulcer prophylaxis guideline in medicine unit at soba university hospital: A descriptive retrospective study","10.2991/dsahmj.k.210624.001","Clinical Pharmacy & Pharmacy Practice","2021"
"2025/11/05 3:46:46 م غرينتش+2","Bashir Alsiddig Yousef","Knowledge, attitude, and practice of community pharmacists toward tablet splitting and crushing at omdurman locality: A cross-sectional study","10.4103/cmi.cmi_143_20","Clinical Pharmacy & Pharmacy Practice","2021"
"2025/11/05 3:50:17 م غرينتش+2","Bashir Alsiddig Yousef","Assessment of drug–drug interactions between chemotherapeutic and chronically used medications at Khartoum oncology hospital","10.4103/MTSM.MTSM_17_20","Clinical Pharmacy & Pharmacy Practice","2020"
"2025/11/05 3:53:10 م غرينتش+2","Bashir Alsiddig Yousef","The extent of antibiotic dispensing in self-medication encounters in Sudan: a simulated patient study focusing on Cefixime sale","https://doi.org/10.2147/IPRP.S440010","Clinical Pharmacy & Pharmacy Practice","2023"
"2025/11/05 3:55:03 م غرينتش+2","Bashir Alsiddig Yousef","Evaluation of community pharmacists’ competences in identifying and resolve drug-related problems in a pediatric prescription using the simulated patient method","https://doi.org/10.3390/pharmacy11010006","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/05 3:56:57 م غرينتش+2","Bashir Alsiddig Yousef","Perception of pharmacy teachers about their roles and current practice at governmental universities in Sudan","https://doi.org/10.2147/AMEP.S355931","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/05 4:02:06 م غرينتش+2","Bashir Alsiddig Yousef","Drug utilization evaluation of vancomycin among patients in Jafar Ibn Auf Pediatric Hospital, 2018","https://doi.org/10.12688/f1000research.19370.2","Clinical Pharmacy & Pharmacy Practice","2021"
"2025/11/05 4:17:11 م غرينتش+2","Bashir Alsiddig Yousef","Drug Utilization Evaluation of Vancomycin among Patients in Jafar Ibn Auf Pediatric Hospital, 2018 [version 1; peer review: 2","https://doi.org/10.12688/f1000research.19370.1","Clinical Pharmacy & Pharmacy Practice","2019"
"2025/11/05 4:18:47 م غرينتش+2","Bashir Alsiddig Yousef","Prescription patterns of antipsychotics in the management of first episode psychosis at three psychiatric hospitals in Khartoum, 2018: A descriptive cross-sectional study","10.4103/jfmpc.jfmpc_892_19","Clinical Pharmacy & Pharmacy Practice","2020"
"2025/11/05 4:23:15 م غرينتش+2","Bashir Alsiddig Yousef","Expression profiles of lncRNAs and their possible regulatory role in monocrotaline-induced HSOS in rats","https://doi.org/10.3389/fgene.2023.1041266","Pharmacology & Toxicology","2023"
"2025/11/05 4:25:15 م غرينتش+2","Bashir Alsiddig Yousef","Assessment of potentially inappropriate prescribed medications in older patients using STOPP/START criteria at soba university hospital: a descriptive retrospective study","https://doi.org/10.18502/jpc.v10i1.9122","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/05 4:27:24 م غرينتش+2","Bashir Alsiddig Yousef","Assessment of erythropoiesis-stimulating agents for anemia treatment among chronic kidney disease patients: A descriptive, retrospective study","10.4103/MTSM.MTSM_46_20","Clinical Pharmacy & Pharmacy Practice","2021"
"2025/11/05 4:40:53 م غرينتش+2","Bashir Alsiddig Yousef","Assessment of magnesium sulphate usage in pre-eclamptic and eclamptic women in Omdurman Maternity Hospital, 2017: A cross-sectional study","https://f1000research.com/articles/8-447","Clinical Pharmacy & Pharmacy Practice","2019"
"2025/11/05 4:42:20 م غرينتش+2","Bashir Alsiddig Yousef","The psychological antecedents to COVID-19 vaccination among community pharmacists in Khartoum State, Sudan","https://doi.org/10.3390/medicina59050817","Clinical Pharmacy & Pharmacy Practice","2023"
"2025/11/05 4:45:09 م غرينتش+2","Bashir Alsiddig Yousef","Assessment of quality of life among pediatric patients with cancer in khartoum oncology hospital: A cross-sectional pilot study","10.4103/mtsm.mtsm_17_21","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/05 4:46:19 م غرينتش+2","Bashir Alsiddig Yousef","Doctors' attitude and satisfaction toward clinical pharmacists' role at Omdurman Military Hospital: A descriptive cross-sectional study","10.4103/mtsm.mtsm_22_21","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/16 8:08:40 م غرينتش+2","Ahmed H. Arbab","Bioassay-guided isolation of anti-hepatitis B virus flavonoid myricetin-3-O-rhamnoside along with quercetin from Guiera senegalensis leaves","https://doi.org/10.1016/j.jsps.2020.03.006","Pharmacology & Toxicology","2020"
"2025/11/16 8:10:13 م غرينتش+2","Ahmed H. Arbab","In vitro evaluation of novel antiviral activities of 60 medicinal plants extracts against hepatitis B virus","https://doi.org/10.3892/etm.2017.4530","Pharmacology & Toxicology","2017"
"2025/11/16 8:11:42 م غرينتش+2","Ahmed H. Arbab","Quantitative analysis of rutin, quercetin, naringenin, and gallic acid by validated RP-and NP-HPTLC methods for quality control of anti-HBV active extract of Guiera senegalensis","https://doi.org/10.1080/13880209.2017.1300175","Pharmaceutical Chemistry","2017"
"2025/11/16 8:18:19 م غرينتش+2","Ahmed H. Arbab","Review on Anogeissus leiocarpus a potent African traditional drug","https://www.researchgate.net/publication/264548853_REVIEW_ON_ANOGEISSUS_LEIOCARPUS_A_POTENT_AFRICAN_TRADITIONAL_DRUG","Pharmacology & Toxicology","2014"
"2025/11/16 8:19:41 م غرينتش+2","Ahmed H. Arbab","Analysis of antioxidative and antiviral biomarkers β-amyrin, β-sitosterol, lupeol, ursolic acid in Guiera senegalensis leaves extract by validated HPTLC methods","https://doi.org/10.1016/j.jsps.2018.02.022","Pharmaceutical Chemistry","2018"
"2025/11/16 8:24:38 م غرينتش+2","Ahmed H. Arbab","Antiviral natural products against chronic hepatitis B: recent developments","https://www.ingentaconnect.com/content/ben/cpd/2016/00000022/00000003/art00004#Supp","Pharmacology & Toxicology","2016"
"2025/11/16 8:25:59 م غرينتش+2","Ahmed H. Arbab","Perceived academic stress, causes, and coping strategies among undergraduate pharmacy students during the COVID-19 pandemic","https://doi.org/10.2147/AMEP.S350562","Clinical Pharmacy & Pharmacy Practice","2022"
"2025/11/16 8:28:12 م غرينتش+2","Ahmed H. Arbab","Review on skin whitening agents","https://www.researchgate.net/publication/249650287_Review_on_Skin_Whitening_Agents","Pharmacology & Toxicology","2010"
"2025/11/16 8:30:31 م غرينتش+2","Ahmed H. Arbab","Therapeutic efficacy of ethanolic extract of Aerva javanica aerial parts in the amelioration of CCl4-induced hepatotoxicity and oxidative damage in rats","https://doi.org/10.3402/fnr.v60.30864","Pharmacology & Toxicology","2016"
"2025/11/16 8:33:22 م غرينتش+2","Ahmed H. Arbab","Novel Anti-Hepatitis B Virus Activity of Euphorbia schimperi and Its Quercetin and Kaempferol Derivatives","https://pubs.acs.org/doi/full/10.1021/acsomega.1c04320","Pharmacology & Toxicology","2021"
"2025/11/16 8:34:44 م غرينتش+2","Ahmed H. Arbab","Comparative study of antioxidant activity and validated RP-HPTLC analysis of rutin in the leaves of different Acacia species grown in Saudi Arabia","https://doi.org/10.1016/j.jsps.2016.10.010","Pharmaceutical Chemistry","2017"
